name,National №,Type,Species,Height,Weight,Abilities,Local №
Cosmoem,790, Psychic,Protostar Pokémon,0.1 m (0′04″),999.9 kg (2204.4 lbs), Sturdy, Sturdy Sturdy
Solgaleo,791, Psychic Steel,Sunne Pokémon,3.4 m (11′02″),230.0 kg (507.1 lbs), Full Metal Body, Full Metal Body Full Metal Body
Lunala,792, Psychic Ghost,Moone Pokémon,4.0 m (13′01″),120.0 kg (264.6 lbs), Shadow Shield, Shadow Shield Shadow Shield
Nihilego,793, Rock Poison,Parasite Pokémon,1.2 m (3′11″),55.5 kg (122.4 lbs), Beast Boost, Beast Boost Beast Boost
Buzzwole,794, Bug Fighting,Swollen Pokémon,2.4 m (7′10″),333.6 kg (735.5 lbs), Beast Boost, Beast Boost Beast Boost
Pheromosa,795, Bug Fighting,Lissome Pokémon,1.8 m (5′11″),25.0 kg (55.1 lbs), Beast Boost, Beast Boost Beast Boost
Xurkitree,796, Electric,Glowing Pokémon,3.8 m (12′06″),100.0 kg (220.5 lbs), Beast Boost, Beast Boost Beast Boost
Celesteela,797, Steel Flying,Launch Pokémon,9.2 m (30′02″),999.9 kg (2204.4 lbs), Beast Boost, Beast Boost Beast Boost
Kartana,798, Grass Steel,Drawn Sword Pokémon,0.3 m (1′00″),0.1 kg (0.2 lbs), Beast Boost, Beast Boost Beast Boost
Guzzlord,799, Dark Dragon,Junkivore Pokémon,5.5 m (18′01″),888.0 kg (1957.7 lbs), Beast Boost, Beast Boost Beast Boost
Necrozma,800, Psychic,Prism Pokémon,2.4 m (7′10″),230.0 kg (507.1 lbs), Prism Armor, Prism Armor Prism Armor
Magearna,801, Steel Fairy,Artificial Pokémon,1.0 m (3′03″),80.5 kg (177.5 lbs), Soul-Heart, Soul-Heart Soul-Heart
Marshadow,802, Fighting Ghost,Gloomdweller Pokémon,0.7 m (2′04″),22.2 kg (48.9 lbs), Technician, Technician Technician
Poipole,803, Poison,Poison Pin Pokémon,0.6 m (2′00″),1.8 kg (4.0 lbs), Beast Boost, Beast Boost
Naganadel,804, Poison Dragon,Poison Pin Pokémon,3.6 m (11′10″),150.0 kg (330.7 lbs), Beast Boost, Beast Boost
Stakataka,805, Rock Steel,Rampart Pokémon,5.5 m (18′01″),820.0 kg (1807.8 lbs), Beast Boost, Beast Boost
Blacephalon,806, Fire Ghost,Fireworks Pokémon,1.8 m (5′11″),13.0 kg (28.7 lbs), Beast Boost, Beast Boost
Zeraora,807, Electric,Thunderclap Pokémon,1.5 m (4′11″),44.5 kg (98.1 lbs), Volt Absorb, Volt Absorb
Meltan,808, Steel,Hex Nut Pokémon,0.2 m (0′08″),8.0 kg (17.6 lbs), Magnet Pull, Magnet Pull
Melmetal,809, Steel,Hex Nut Pokémon,2.5 m (8′02″),800.0 kg (1763.7 lbs), Iron Fist, Iron Fist
Grookey,810, Grass,Chimp Pokémon,0.3 m (1′00″),5.0 kg (11.0 lbs), Overgrow Grassy Surge, Grassy Surge
Thwackey,811, Grass,Beat Pokémon,0.7 m (2′04″),14.0 kg (30.9 lbs), Overgrow Grassy Surge, Grassy Surge
Rillaboom,812, Grass,Drummer Pokémon,2.1 m (6′11″),90.0 kg (198.4 lbs), Overgrow Grassy Surge, Grassy Surge
Scorbunny,813, Fire,Rabbit Pokémon,0.3 m (1′00″),4.5 kg (9.9 lbs), Blaze Libero, Libero
Raboot,814, Fire,Rabbit Pokémon,0.6 m (2′00″),9.0 kg (19.8 lbs), Blaze Libero, Libero
Cinderace,815, Fire,Striker Pokémon,1.4 m (4′07″),33.0 kg (72.8 lbs), Blaze Libero, Libero
Sobble,816, Water,Water Lizard Pokémon,0.3 m (1′00″),4.0 kg (8.8 lbs), Torrent Sniper, Sniper
Drizzile,817, Water,Water lizard Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs), Torrent Sniper, Sniper
Inteleon,818, Water,Secret Agent Pokémon,1.9 m (6′03″),45.2 kg (99.6 lbs), Torrent Sniper, Sniper
Skwovet,819, Normal,Cheeky Pokémon,0.3 m (1′00″),2.5 kg (5.5 lbs), Cheek Pouch Gluttony, Gluttony
Greedent,820, Normal,Greedy Pokémon,0.6 m (2′00″),6.0 kg (13.2 lbs), Cheek Pouch Gluttony, Gluttony
Rookidee,821, Flying,Tiny Bird Pokémon,0.2 m (0′08″),1.8 kg (4.0 lbs), Keen Eye Unnerve Big Pecks, Big Pecks
Corvisquire,822, Flying,Raven Pokémon,0.8 m (2′07″),16.0 kg (35.3 lbs), Keen Eye Unnerve Big Pecks, Big Pecks
Corviknight,823, Flying Steel,Raven Pokémon,2.2 m (7′03″),75.0 kg (165.3 lbs), Pressure Unnerve Mirror Armor, Mirror Armor
Blipbug,824, Bug,Larva Pokémon,0.4 m (1′04″),8.0 kg (17.6 lbs), Swarm Compound Eyes Telepathy, Telepathy
Dottler,825, Bug Psychic,Radome Pokémon,0.4 m (1′04″),19.5 kg (43.0 lbs), Swarm Compound Eyes Telepathy, Telepathy
Orbeetle,826, Bug Psychic,Seven Spot Pokémon,0.4 m (1′04″),40.8 kg (89.9 lbs), Swarm Frisk Telepathy, Telepathy
Nickit,827, Dark,Fox Pokémon,0.6 m (2′00″),8.9 kg (19.6 lbs), Run Away Unburden Stakeout, Stakeout
Thievul,828, Dark,Fox Pokémon,1.2 m (3′11″),19.9 kg (43.9 lbs), Run Away Unburden Stakeout, Stakeout
Gossifleur,829, Grass,Flowering Pokémon,0.4 m (1′04″),2.2 kg (4.9 lbs), Cotton Down Regenerator Effect Spore, Effect Spore
Eldegoss,830, Grass,Cotton Bloom Pokémon,0.5 m (1′08″),2.5 kg (5.5 lbs), Cotton Down Regenerator Effect Spore, Effect Spore
Wooloo,831, Normal,Sheep Pokémon,0.6 m (2′00″),6.0 kg (13.2 lbs), Fluffy Run Away Bulletproof, Bulletproof
Dubwool,832, Normal,Sheep Pokémon,1.3 m (4′03″),43.0 kg (94.8 lbs), Fluffy Steadfast Bulletproof, Bulletproof
Chewtle,833, Water,Snapping Pokémon,0.3 m (1′00″),8.5 kg (18.7 lbs), Strong Jaw Shell Armor Swift Swim, Swift Swim
Drednaw,834, Water Rock,Bite Pokémon,1.0 m (3′03″),115.5 kg (254.6 lbs), Strong Jaw Shell Armor Swift Swim, Swift Swim
Yamper,835, Electric,Puppy Pokémon,0.3 m (1′00″),13.5 kg (29.8 lbs), Ball Fetch Rattled, Rattled
Boltund,836, Electric,Dog Pokémon,1.0 m (3′03″),34.0 kg (75.0 lbs), Strong Jaw Competitive, Competitive
Rolycoly,837, Rock,Coal Pokémon,0.3 m (1′00″),12.0 kg (26.5 lbs), Steam Engine Heatproof Flash Fire, Flash Fire
Carkol,838, Rock Fire,Coal Pokémon,1.1 m (3′07″),78.0 kg (172.0 lbs), Steam Engine Flame Body Flash Fire, Flash Fire
Coalossal,839, Rock Fire,Coal Pokémon,2.8 m (9′02″),310.5 kg (684.5 lbs), Steam Engine Flame Body Flash Fire, Flash Fire
Applin,840, Grass Dragon,Apple Core Pokémon,0.2 m (0′08″),0.5 kg (1.1 lbs), Ripen Gluttony Bulletproof, Bulletproof
Flapple,841, Grass Dragon,Apple Wing Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs), Ripen Gluttony Hustle, Hustle
Appletun,842, Grass Dragon,Apple Nectar Pokémon,0.4 m (1′04″),13.0 kg (28.7 lbs), Ripen Gluttony Thick Fat, Thick Fat
Silicobra,843, Ground,Sand Snake Pokémon,2.2 m (7′03″),7.6 kg (16.8 lbs), Sand Spit Shed Skin Sand Veil, Sand Veil
Sandaconda,844, Ground,Sand Snake Pokémon,3.8 m (12′06″),65.5 kg (144.4 lbs), Sand Spit Shed Skin Sand Veil, Sand Veil
Cramorant,845, Flying Water,Gulp Pokémon,0.8 m (2′07″),18.0 kg (39.7 lbs), Gulp Missile, Gulp Missile
Arrokuda,846, Water,Rush Pokémon,0.5 m (1′08″),1.0 kg (2.2 lbs), Swift Swim Propeller Tail, Propeller Tail
Barraskewda,847, Water,Skewer Pokémon,1.3 m (4′03″),30.0 kg (66.1 lbs), Swift Swim Propeller Tail, Propeller Tail
Toxel,848, Electric Poison,Baby Pokémon,0.4 m (1′04″),11.0 kg (24.3 lbs), Rattled Static Klutz, Klutz
Toxtricity,849, Electric Poison,Punk Pokémon,1.6 m (5′03″),40.0 kg (88.2 lbs), Punk Rock Minus Technician, Technician
Sizzlipede,850, Fire Bug,Radiator Pokémon,0.7 m (2′04″),1.0 kg (2.2 lbs), Flash Fire White Smoke Flame Body, Flame Body
Centiskorch,851, Fire Bug,Radiator Pokémon,3.0 m (9′10″),120.0 kg (264.6 lbs), Flash Fire White Smoke Flame Body, Flame Body
Clobbopus,852, Fighting,Tantrum Pokémon,0.6 m (2′00″),4.0 kg (8.8 lbs), Limber Technician, Technician
Grapploct,853, Fighting,Tantrum Pokémon,1.6 m (5′03″),39.0 kg (86.0 lbs), Limber Technician, Technician
Sinistea,854, Ghost,Black Tea Pokémon,0.1 m (0′04″),0.2 kg (0.4 lbs), Weak Armor Cursed Body, Cursed Body
Polteageist,855, Ghost,Black Tea Pokémon,0.2 m (0′08″),0.4 kg (0.9 lbs), Weak Armor Cursed Body, Cursed Body
Hatenna,856, Psychic,Calm Pokémon,0.4 m (1′04″),3.4 kg (7.5 lbs), Healer Anticipation Magic Bounce, Magic Bounce
Hattrem,857, Psychic,Serene Pokémon,0.6 m (2′00″),4.8 kg (10.6 lbs), Healer Anticipation Magic Bounce, Magic Bounce
Hatterene,858, Psychic Fairy,Silent Pokémon,2.1 m (6′11″),5.0 kg (11.0 lbs), Healer Anticipation Magic Bounce, Magic Bounce
Impidimp,859, Dark Fairy,Wily Pokémon,0.4 m (1′04″),5.5 kg (12.1 lbs), Prankster Frisk Pickpocket, Pickpocket
Morgrem,860, Dark Fairy,Devious Pokémon,0.8 m (2′07″),12.5 kg (27.6 lbs), Prankster Frisk Pickpocket, Pickpocket
Grimmsnarl,861, Dark Fairy,Bulk Up Pokémon,1.5 m (4′11″),61.0 kg (134.5 lbs), Prankster Frisk Pickpocket, Pickpocket
Obstagoon,862, Dark Normal,Blocking Pokémon,1.6 m (5′03″),46.0 kg (101.4 lbs), Reckless Guts Defiant, Defiant
Perrserker,863, Steel,Viking Pokémon,0.8 m (2′07″),28.0 kg (61.7 lbs), Battle Armor Tough Claws Steely Spirit, Steely Spirit
Cursola,864, Ghost,Coral Pokémon,1.0 m (3′03″),0.4 kg (0.9 lbs), Weak Armor Perish Body, Perish Body
Sirfetch'd,865, Fighting,Wild Duck Pokémon,0.8 m (2′07″),117.0 kg (257.9 lbs), Steadfast Scrappy, Scrappy
Mr. Rime,866, Psychic Ice,Comedian Pokémon,1.5 m (4′11″),58.2 kg (128.3 lbs), Tangled Feet Screen Cleaner Ice Body, Ice Body
Runerigus,867, Ground Ghost,Grudge Pokémon,1.6 m (5′03″),66.6 kg (146.8 lbs), Wandering Spirit, Wandering Spirit
Milcery,868, Fairy,Cream Pokémon,0.2 m (0′08″),0.3 kg (0.7 lbs), Sweet Veil Aroma Veil, Aroma Veil
Alcremie,869, Fairy,Cream Pokémon,0.3 m (1′00″),0.5 kg (1.1 lbs), Sweet Veil Aroma Veil, Aroma Veil
Falinks,870, Fighting,Formation Pokémon,3.0 m (9′10″),62.0 kg (136.7 lbs), Battle Armor Defiant, Defiant
Pincurchin,871, Electric,Sea Urchin Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs), Lightning Rod Electric Surge, Electric Surge
Snom,872, Ice Bug,Worm Pokémon,0.3 m (1′00″),3.8 kg (8.4 lbs), Shield Dust Ice Scales, Ice Scales
Frosmoth,873, Ice Bug,Frost Moth Pokémon,1.3 m (4′03″),42.0 kg (92.6 lbs), Shield Dust Ice Scales, Ice Scales
Stonjourner,874, Rock,Big Rock Pokémon,2.5 m (8′02″),520.0 kg (1146.4 lbs), Power Spot, Power Spot
Eiscue,875, Ice,Penguin Pokémon,1.4 m (4′07″),89.0 kg (196.2 lbs), Ice Face, Ice Face
Indeedee,876, Psychic Normal,Emotion Pokémon,0.9 m (2′11″),28.0 kg (61.7 lbs), Inner Focus Synchronize Psychic Surge, Psychic Surge
Morpeko,877, Electric Dark,Two-Sided Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs), Hunger Switch, Hunger Switch
Cufant,878, Steel,Copperderm Pokémon,1.2 m (3′11″),100.0 kg (220.5 lbs), Sheer Force Heavy Metal, Heavy Metal
Copperajah,879, Steel,Copperderm Pokémon,3.0 m (9′10″),650.0 kg (1433.0 lbs), Sheer Force Heavy Metal, Heavy Metal
Dracozolt,880, Electric Dragon,Fossil Pokémon,1.8 m (5′11″),190.0 kg (418.9 lbs), Volt Absorb Hustle Sand Rush, Sand Rush
Arctozolt,881, Electric Ice,Fossil Pokémon,2.3 m (7′07″),150.0 kg (330.7 lbs), Volt Absorb Static Slush Rush, Slush Rush
Dracovish,882, Water Dragon,Fossil Pokémon,2.3 m (7′07″),215.0 kg (474.0 lbs), Water Absorb Strong Jaw Sand Rush, Sand Rush
Arctovish,883, Water Ice,Fossil Pokémon,2.0 m (6′07″),175.0 kg (385.8 lbs), Water Absorb Ice Body Slush Rush, Slush Rush
Duraludon,884, Steel Dragon,Alloy Pokémon,1.8 m (5′11″),40.0 kg (88.2 lbs), Light Metal Heavy Metal Stalwart, Stalwart
Dreepy,885, Dragon Ghost,Lingering Pokémon,0.5 m (1′08″),2.0 kg (4.4 lbs), Clear Body Infiltrator Cursed Body, Cursed Body
Drakloak,886, Dragon Ghost,Caretaker Pokémon,1.4 m (4′07″),11.0 kg (24.3 lbs), Clear Body Infiltrator Cursed Body, Cursed Body
Dragapult,887, Dragon Ghost,Stealth Pokémon,3.0 m (9′10″),50.0 kg (110.2 lbs), Clear Body Infiltrator Cursed Body, Cursed Body
Zacian,888, Fairy Steel,Warrior Pokémon,2.8 m (9′02″),355.0 kg (782.6 lbs), Intrepid Sword, Intrepid Sword
Zamazenta,889, Fighting Steel,Warrior Pokémon,2.9 m (9′06″),785.0 kg (1730.6 lbs), Dauntless Shield, Dauntless Shield
Eternatus,890, Poison Dragon,Gigantic Pokémon,20.0 m (65′07″),950.0 kg (2094.4 lbs), Pressure, Pressure
